Name,Industry,Sector,Headquarters,Founded,Notes,Status
,,,,,,
A K Khan & Company,Conglomerates,-,Chittagong,1945,"Textiles, logistics, water, financial services, telecoms, agriculture",P
Aarong,Consumer goods,Personal & household goods,Dhaka,1978,General retail,P
Abul Khair Group,Conglomerates,-,Chattogram,1953,"Steel, cement, tobacco, food & beverage, consumer product, automobile",P
Adamjee Jute Mills,Consumer goods,Clothing & accessories,Narayanganj,1951,"Jute mill, defunct 2002",P
Advanced Chemical Industries (ACI),Conglomerates,-,Dhaka,1968,"Chemicals, foods, pharma, consumer products, logistics, consumer electronics, automobile services, communication",P
Agamee Prakashani,Consumer services,Publishing,Dhaka,1986,Publishing,P
Agrani Bank,Financials,Banks,Dhaka,1972,State-owned bank,S
Airtel Bangladesh,Telecommunications,Mobile telecommunications,Dhaka,2007,"4G cellular, part of Axiata (Malaysia)",P
Akij,Conglomerates,-,Dhaka,1940,"Textiles, tobacco, food & beverage, cement, ceramics, printing, pharma, consumer products, automobile, hospital",P
Alim Industries Limited,Industrials,-,Sylhet,1990,Agricultural machinery,P
Amar Desh,Consumer services,Publishing,Dhaka,2004,Newspaper,P
Adamjee Jute Mills,Consumer goods,Clothing & accessories,Narayanganj,1951,"Jute mill, defunct 2002",P
Asian TV,Consumer services,Broadcasting & entertainment,Dhaka,2013,Satellite TV channel,P
ATN Bangla,Consumer services,Broadcasting & entertainment,Dhaka,1997,Satellite TV channel,P
ATN News,Consumer services,Broadcasting & entertainment,Dhaka,2010,24-hour news channel,P
Bangladesh Bank,Financials,Banks,Dhaka,1971,State bank,S
Bangladesh Betar,Consumer services,Broadcasting & entertainment,Dhaka,1939,state-owned radio broadcaster,S
Bangladesh Machine Tools Factory,Industrials,Defense,Gazipur City,1979,Defense vehicles,S
Bangladesh Petroleum Corporation,Oil & gas,Exploration & production,Dhaka,1976,State-owned petrochemical,S
Bangladesh Pratidin,Consumer services,Publishing,Dhaka,2010,Newspaper,P
Bangladesh Railway,Industrials,Railroads,Dhaka,1862,Railroads,S
Bangladesh Shipping Corporation,Industrials,Marine transportation,Chittagong,1972,State-owned shipping,S
Bangladesh Telecommunications Company Limited,Telecommunications,Mobile telecommunications,Dhaka,1971,State-owned mobile telecommunications,S
Bangladesh Television,Consumer services,Broadcasting & entertainment,Dhaka,1964,State-owned TV broadcaster,S
Banglalink,Telecommunications,Mobile telecommunications,Dhaka,1996,4G cellular,P
Banglalion,Telecommunications,Mobile telecommunications,Dhaka,2008,4G LTE wireless broadband,P
Banglavision,Consumer services,Broadcasting & entertainment,Dhaka,2006,Satellite TV channel,P
Bashundhara Group,Conglomerates,"Real estate, media, manufacturing, retail, and construction",Dhaka,1987,"Property development, cement, paper, steel, food, media",P
Bengal Group,Conglomerates,-,Dhaka,1969,"Consumer goods, construction and development, feed, plastics, cement, food, media",P
Best Air,Consumer services,Airlines,Dhaka,2007,"Private airline, defunct 2009",P
Beximco Pharma,Health care,Pharmaceuticals,Gazipur City,1980,"Pharmaceuticals, part of Beximco",P
Beximco,Conglomerates,-,Dhaka,1972,"Pharmaceuticals, textiles, ceramics, aviation, media, finance, real estate, construction",P
Bhorer Kagoj,Consumer services,Publishing,Dhaka,1992,Newspaper,P
Bikroy.com,Technology,Software,Dhaka,2012,E-commerce,P
Biman Bangladesh Airlines,Consumer services,Airlines,Dhaka,1972,Flag carrier airline,P
Bismillah Airlines,Consumer services,Airlines,Dhaka,1998,Airline,P
Bismillah Group,Consumer goods,Clothing & accessories,Dhaka,1988,Textiles and towels,P
BRAC Bank Limited,Financials,Banks,Dhaka,2001,Private commercial bank,P
BSRM,Basic materials,Iron & steel,Chittagong,1952,Steel products,P
BTCL,Telecommunications,Fixed line telecommunications,Dhaka,1971,"Fixed line, broadband Internet",P
Building Technology & Ideas,Financials,Real estate holding & development,Dhaka,1984,"Financial services, real estate",P
Channel 9,Consumer services,Broadcasting & entertainment,Dhaka,2011,Satellite TV channel,P
Channel 24,Consumer services,Broadcasting & entertainment,Dhaka,2012,24-hour news channel,P
Channel i,Consumer services,Broadcasting & entertainment,Dhaka,1999,Private television network,P
City Group,Conglomerates,-,Dhaka,1972,"Consumer goods, foods, steel, printing & packaging, shipping, power & energy, financials",P
Citycell,Telecommunications,Mobile telecommunications,Dhaka,1989,CDMA mobile communications,P
Concord Group,Conglomerates,Construction and real estate,Dhaka,1973,"Construction, real estate, architecture & design, communication, entertainment, hospitality, garments",P
Confidence Group,Conglomerates,Engineering and power generation,Dhaka,1991,"Engineering, concrete, energy, paints",P
Cooper's,Consumer goods,Food & beverage,Dhaka,1984,Bakery,P
Credit Rating Information and Services Limited (CRISL),Financials,Consumer finance,Dhaka,1992,Credit ratings,P
Daily Inqilab,Consumer services,Publishing,Dhaka,1986,Newspaper,P
DBC News,Consumer services,Broadcasting & entertainment,Dhaka,2016,24-hour news channel,P
DBL Group,Conglomerates,,Dhaka,1991,"Textiles, pharmaceuticals, ICT, semiconductors",P
Deepto TV,Consumer services,Broadcasting & entertainment,Dhaka,2015,Satellite TV channel,P
Delta Brac Housing Finance Corporation,Financials,Consumer finance,Dhaka,1996,Financial services,P
Desh TV,Consumer services,Broadcasting & entertainment,Dhaka,2009,Television network,P
Dhaka Bank Limited,Financials,Banks,Dhaka,1995,Private commercial bank,P
Dragon Group,Consumer goods,Clothing & accessories,Dhaka,1980,Clothing,P
Dutch Bangla Bank,Financials,Banks,Dhaka,1995,Private commercial bank,P
Eastern Bank Limited,Financials,Banks,Dhaka,1992,Private commercial bank,P
Eastern Housing Limited,Financials,Real estate holding & development,Dhaka,1965,Real estate,P
Ekattor TV,Consumer services,Broadcasting & entertainment,Dhaka,2012,24-hour news channel,P
Ekushey Television,Consumer services,Broadcasting & entertainment,Dhaka,2000,Satellite TV channel,P
Eskayef Bangladesh,Health care,Pharmaceuticals,Dhaka,1990,Pharmaceuticals,P
EXIM Bank,Financials,Banks,Dhaka,1999,Private commercial bank,P
FMC Dockyard Limited,Industrials,Commercial vehicles & trucks,Chittagong,1998,Shipyard,P
Gazi Group,Conglometates,-,Dhaka,1974,"Tyres, plastic products, water tanks",P
General Pharma,Health care,Pharmaceuticals,Dhaka,1984,Pharmaceuticals,P
Globe Janakantha Shilpa Paribar,Conglomerates,-,Dhaka,1969,"Construction, engineering, electrical cables, information technology, printing, media",P
GMG Airlines,Consumer services,Airlines,Dhaka,1997,"Airline, defunct 2012",P
Grameen Bank,Financials,Banks,Dhaka,1983,Microfinance,P
Grameenphone,Telecommunications,Mobile telecommunications,Dhaka,1997,4G cellular,P
GTV,Consumer services,Broadcasting & entertainment,Dhaka,2011,Private television network,P
Habib Group,Conglomerates,-,Chittagong,1947,"Aviation, cement, paper, energy, steel, textile",P
Ha-meem Group,Consumer goods,Clothing & accessories,Dhaka,1984[3],"Textiles, leather, jute mill",P
Hatil,Consumer goods,Furnishings,Dhaka,1989,Furniture,P
HRC Group,Conglomerates,-,Dhaka,1991,"Shipping, media, real estate, agri-products, IT",P
IDLC Asset Management Limited,Financials,Nonequity investment instruments,Dhaka,2016,Mutual funds,P
IDLC Finance Limited,Financials,Specialty finance,Dhaka,1985,"Loans, deposits, commercial financials",P
IDLC Investments Limited,Financials,Specialty finance,Dhaka,2010,Merchant bank,P
IDLC Securities Limited,Financials,Specialty finance,Dhaka,2006,Stockbroker,P
IFIC Bank,Financials,Banks,Dhaka,1976,Private commercial bank,P
Impress Group,Conglomerate,Pharmaceuticals,Dhaka,1999,Pharmaceuticals,P
Independent Television,Consumer services,Broadcasting & entertainment,Dhaka,2010,24-hour news channel,P
Investment Corporation of Bangladesh (ICB),Financials,Investment services,Dhaka,1976,,P
Islami Bank Bangladesh Ltd,Financials,Banks,Dhaka,1983,Private bank,P
Jaaz Multimedia,Consumer services,Broadcasting & entertainment,Dhaka,2011,,P
Jaijaidin,Consumer services,Publishing,Dhaka,2006,Newspaper,P
Jamuna Bank,Financials,Banks,Dhaka,2001,Private commercial bank,P
Jamuna Group,Conglomerates,-,Dhaka,1974,"Textiles, chemicals, construction, leather, engineering, beverages, media, advertisement",P
Jamuna Oil Company,Oil & gas,Exploration & production,Chittagong,1964,"Secondary oil products, part of Bangladesh Petroleum Corporation",S
Jamuna Television,Consumer services,Broadcasting & entertainment,Dhaka,2014,24-hour news channel,P
Janakantha,Consumer services,Publishing,Dhaka,1993,Newspaper,P
Janata Bank,Financials,Banks,Dhaka,1971,State-owned bank,S
Jiban Bima Corporation,Financials,Life insurance,Dhaka,1973,State-owned life insurance company,S
Jugantor,Consumer services,Publishing,Dhaka,2000,Newspaper,P
Kaler Kantho,Consumer services,Publishing,Dhaka,2010,Newspaper,P
Kallol Group of Companies,Conglomerates,-,Dhaka,1972,"Foods and beverage, hygiene, fabric care, watch and instruments",P
Karnaphuli Group,Conglomerates,,Chittagong,1954,"Automobiles, retails, media, ports, shipping, real estate",P
Kazi Farms Group,Consumer goods,Food products,Dhaka,1996,Poultry,P
KDS Group,Consumer goods,Clothing & accessories,Chittagong,1983,Textiles,P
Khulna Shipyard,Industrials,Commercial vehicles & trucks,Khulna,1957,State-owned shipyard,S
M. M. Ispahani Limited,Conglomerates,-,Chittagong,1820,"Tea, textiles, jute, shipping, real estate, food",P
Maasranga Television,Consumer services,Broadcasting & entertainment,Dhaka,2011,Private television Network,P
Manab Zamin,Consumer services,Publishing,Dhaka,1998,Newspaper,P
Mask Associates,Private limited,Jute,Chittagong,1982,Jute manufacturing and export,P
Meghna Group of Industries,Conglomerates,-,Dhaka,1976[4],"Chemicals, foods and beverages, printing and packaging, shipping, insurance",P
Meghna Group,Conglomerates,-,Dhaka,1989,"Automobile, engineering (bicycle), cement, packaging, textile",P
Mohona TV,Consumer services,Broadcasting & entertainment,Dhaka,2010,Private television network,P
Monsoon Films,Consumer services,Broadcasting & entertainment,Dhaka,2010,,P
Nasir Group,Conglomerates,-,Dhaka,1977,"Glass, melamine, printing and packaging, light bulbs",P
Nassa Group,Conglomerates,-,Dhaka,1990,"Textiles, banking, real estate, financial services, travel, education",P
National Bank Limited,Financials,Banks,Dhaka,1983,Public limited bank,P
Navana Group,Conglomerates,-,Dhaka,1964,"Marketing, construction, real estate",P
New Age,Consumer services,Publishing,Dhaka,2003,Newspaper,P
News24,Consumer services,Broadcasting & entertainment,Dhaka,2016,24-hour news channel,P
Novoair,Consumer services,Airlines,Dhaka,2007,Private airline,P
NTV,Consumer services,Broadcasting & entertainment,Dhaka,2003,Satellite TV channel,P
One Bank Limited,Financials,Banks,Dhaka,1999,Commercial bank,P
Orion Group,Conglomerates,-,Dhaka,1985[5],"Pharmaceuticals, real estate, construction, power, hospitality, textiles, aviation",P
Otobi,Consumer goods,Furnishings,Dhaka,1975,Furniture,P
Padma Oil Company,Oil & gas,Exploration & production,Dhaka,1965,,P
Paradise Group of Industries,Conglomerates,-,Narayanganj,1985,"Electrical cable, textiles, engineering, real estate",P
Partex Group,Conglomerates,-,Dhaka,1959,"Food & beverages, steel, real estate, furniture, plastics, paper, power & energy, jute, agribusiness, shipyards, shipping, textiles, construction, IT, cabling, aviation, garments, PVC, ceramics, telecommunication, Oil",P
Petrobangla,Oil & gas,Exploration & production,Dhaka,1972,National oil company,P
Power Grid Company of Bangladesh,Utilities,Conventional electricity,Dhaka,1996[6],,P
Pragoti,Consumer goods,Automobiles,Chittagong,1966,Automobiles,S
PRAN-RFL Group,Consumer goods,Pran Food and Beverage & RFL Plastic and Home Appliance,Dhaka,1981,"Food and beverage, plastic products, home appliance",P
Pride Group,Consumer goods,Clothing & accessories,Dhaka,1958,,P
Prime Bank Limited,Financials,Banks,Dhaka,1995,Private commercial bank,P
Prothom Alo,Consumer services,Publishing,Dhaka,1998,Newspaper,P
Pubali Bank,Financials,Banks,Dhaka,1959,Private commercial bank,P
Radio Foorti,Consumer services,Broadcasting & entertainment,Dhaka,2006,Radio,P
Radio Today,Consumer services,Broadcasting & entertainment,Dhaka,2006,Radio,P
Rahimafrooz,Conglomerates,-,Chittagong,1954,"Retail, electronics, automotive, oil & gas",P
Rajshahi Krishi Unnayan Bank,Financials,Banks,Rajshahi,1986,State-owned bank,S
Rangs Group,Conglomerates,-,Dhaka,1979,"Automobile, electronics, real estate, shipping",P
RanksTel,Telecommunications,Fixed line telecommunications,Dhaka,2004,Fixed line,P
Regent Airways,Consumer services,Airlines,Dhaka,2010,"Private airline, part of Habib Group",P
Regent Power Limited,Utilities,Conventional electricity,Chittagong,2007,Part of Habib Group,P
Renata Limited,Health care,Pharmaceuticals,Dhaka,1993,Pharmaceuticals,P
Robi,Telecommunications,Mobile telecommunications,Dhaka,1997,4G cellular,P
RTV,Consumer services,Broadcasting & entertainment,Dhaka,2005,Satellite TV channel,P
Runner automobiles Ltd.,Consumer goods,Automobiles,Dhaka,2000,Automobiles,P
Rupali Bank,Financials,Banks,Dhaka,1972,State-owned bank,S
Sadharan Bima Corporation,Financials,Full line insurance,Dhaka,1973,State-owned non-life insurance company,S
Sajeeb Group,Conglomerates,-,Dhaka,1982,"Food & beverage, basic materials, construction, oil & gas, industrial transportation, real estate",P
SA TV,Consumer services,Broadcasting & entertainment,Dhaka,2013,Satellite TV channel,P
Samakal,Consumer services,Publishing,Dhaka,2005,Newspaper,P
S. Alam Group of Industries,Conglomerates,-,Chittagong,1985,"Food & beverage, basic materials, construction, oil & gas, industrial transportation, real estate",P
Sheltech,Financials,Real estate holding & development,Dhaka,1988,Real estate,P
Shyampur Sugar Mills,Consumer goods,Food products,Rangpur City,1967,Sugar; falls under the Bangladesh Sugar and Food Industries Corporation[7][8][9],S
Sikder Group,Conglomerate,,Dhaka,1950,"Textiles, power, real estate, healthcare, banking, insurance, aviation",P
Somoy TV,Consumer services,Broadcasting & entertainment,Dhaka,2010,24-hour news channel,P
Sonali Bank,Financials,Banks,Dhaka,1972,State-owned bank,S
Southeast Bank Limited,Financials,Banks,Dhaka,1995,Private commercial bank,P
Square Group,Health care,Pharmaceuticals,Dhaka,1958,Pharmaceuticals,P
STS Group,Health care,Conglomerates,Dhaka,1997,Education and healthcare,P
Summit Group,Conglomerates,-,Dhaka,1985,"Telecommunications, oil & gas, industrial transportation",P
T K Group of Industries,Conglomerates,-,Chittagong,1972,"Consumer goods, edible oil, paper, steel, tea, basic materials, industrial transportation, financials",P
The ACME Laboratories Ltd,Health care,Pharmaceuticals,Dhaka,1954,Pharmaceuticals,P
The Daily Ittefaq,Consumer services,Publishing,Dhaka,1953,Newspaper,P
The Daily Star,Consumer services,Publishing,Dhaka,1991,Newspaper,P
The Sangbad,Consumer services,Publishing,Dhaka,1951,Newspaper,P
Titas Gas,Oil & gas,Exploration & production,Dhaka,1964,Natural gas distributor,S
Transcom Group,Conglomerates,-,Dhaka,1985,"Beverage, pharma, newspaper, radio, electronics, foods",P
Trust Bank Limited,Financials,Banks,Dhaka,1999,Commercial bank,P
United Airways,Consumer services,Airlines,Dhaka,2005,"Private airline, defunct 2016[10]",P
United Finance,Financials,Financial services,Dhaka,1989,Financial services,P
United Group,Conglomerates,-,Dhaka,1978,"Power, manufacturing, healthcare, education, real estate, shipping, retail services",P
US-Bangla Airlines,Consumer services,Airlines,Dhaka,2013,Private airline,P
Uttara Bank Limited,Financials,Banks,Dhaka,1965,Private commercial bank,P
Walton,Conglomerates,-,Dhaka,1977,"Automobiles, consumer electronics, household goods, technology hardware, electronic equipment",P
Western Marine Shipyard,Industrials,Commercial vehicles & trucks,Chittagong,2000,Shipyard,P
